input,inside_grid,outside_grid,output,removed,removed_inside_grid_by_3sigma,occupied_pixels,zero_count_pixels,input_primary,output_primary,run_id,retained_fraction
87720,67166,20554,64616,23104,2550,250,0,87720,64616,216,0.7366165070679435
87870,67348,20522,64812,23058,2536,250,0,87870,64812,217,0.7375896210310686
87350,66988,20362,64483,22867,2505,250,0,87350,64483,218,0.738214081282198
87647,67198,20449,64615,23032,2583,250,0,87647,64615,219,0.7372186155829635
87845,67141,20704,64696,23149,2445,250,0,87845,64696,220,0.7364790255563777
87251,66939,20312,64427,22824,2512,250,0,87251,64427,221,0.7384098749584532
87872,67207,20665,64780,23092,2427,250,0,87872,64780,222,0.7372086671522214
87913,67437,20476,64939,22974,2498,250,0,87913,64939,223,0.7386734612628394
87954,67271,20683,64838,23116,2433,250,0,87954,64838,224,0.737180799054051
87746,67193,20553,64701,23045,2492,250,0,87746,64701,225,0.7373669455017893
87515,67067,20448,64610,22905,2457,250,0,87515,64610,226,0.7382734388390562
87701,67002,20699,64557,23144,2445,250,0,87701,64557,227,0.7361033511590518
87860,67252,20608,64775,23085,2477,250,0,87860,64775,228,0.7372524470748919
88319,67709,20610,65214,23105,2495,250,0,88319,65214,229,0.738391512585061
87625,67086,20539,64620,23005,2466,250,0,87625,64620,230,0.7374607703281028
87534,67071,20463,64630,22904,2441,250,0,87534,64630,231,0.7383416729499395
87520,67076,20444,64651,22869,2425,250,0,87520,64651,232,0.7386997257769653
87662,67017,20645,64595,23067,2422,250,0,87662,64595,233,0.7368643197736762
87683,67236,20447,64695,22988,2541,250,0,87683,64695,234,0.7378283133560667
88010,67197,20813,64692,23318,2505,250,0,88010,64692,235,0.7350528349051244
87687,67120,20567,64653,23034,2467,250,0,87687,64653,236,0.737315679633241
88074,67481,20593,64953,23121,2528,250,0,88074,64953,237,0.7374821173104434
87734,67132,20602,64624,23110,2508,250,0,87734,64624,238,0.7365901474912805
87490,66973,20517,64422,23068,2551,250,0,87490,64422,239,0.7363355812092811
87755,67141,20614,64659,23096,2482,250,0,87755,64659,240,0.7368127172240898
87781,67109,20672,64614,23167,2495,250,0,87781,64614,241,0.7360818400337202
87862,67182,20680,64663,23199,2519,250,0,87862,64663,242,0.7359609387448499
87746,66922,20824,64447,23299,2475,250,0,87746,64447,243,0.7344722266542064
87993,67131,20862,64654,23339,2477,250,0,87993,64654,244,0.7347629925107679
87360,66937,20423,64422,22938,2515,250,0,87360,64422,245,0.7374313186813187
88157,67640,20517,65139,23018,2501,250,0,88157,65139,246,0.7388976485134476
87910,67363,20547,64830,23080,2533,250,0,87910,64830,247,0.7374587646456603
87683,67019,20664,64522,23161,2497,250,0,87683,64522,248,0.7358552969218662
87863,67191,20672,64646,23217,2545,250,0,87863,64646,249,0.7357590794760024
88553,67581,20972,65060,23493,2521,250,0,88553,65060,250,0.7347012523573453
87888,67126,20762,64650,23238,2476,250,0,87888,64650,251,0.735595303113053
87873,67102,20771,64687,23186,2415,250,0,87873,64687,252,0.7361419321065629
88079,67200,20879,64674,23405,2526,250,0,88079,64674,253,0.7342726416058312
87565,67058,20507,64492,23073,2566,250,0,87565,64492,254,0.7365043110831954
87171,66548,20623,64027,23144,2521,250,0,87171,64027,255,0.7344988585653486
87287,66862,20425,64271,23016,2591,250,0,87287,64271,256,0.7363181229736386
87205,66803,20402,64354,22851,2449,250,0,87205,64354,257,0.7379622728054585
87411,66932,20479,64435,22976,2497,250,0,87411,64435,258,0.7371497866401254
87907,67158,20749,64636,23271,2522,250,0,87907,64636,259,0.7352770541595095
87801,67065,20736,64521,23280,2544,250,0,87801,64521,260,0.7348549560938942
87656,67351,20305,64822,22834,2529,250,0,87656,64822,261,0.739504426394086
87728,67189,20539,64606,23122,2583,250,0,87728,64606,262,0.7364353456137152
88200,67562,20638,64965,23235,2597,250,0,88200,64965,263,0.7365646258503401
87763,67082,20681,64512,23251,2570,250,0,87763,64512,264,0.7350705878331415
87412,67008,20404,64486,22926,2522,250,0,87412,64486,265,0.7377247975106392
87864,67407,20457,64816,23048,2591,250,0,87864,64816,266,0.7376855139761449
87701,67115,20586,64626,23075,2489,250,0,87701,64626,267,0.736890115278047
87857,67124,20733,64606,23251,2518,250,0,87857,64606,268,0.7353540412260833
87368,66831,20537,64250,23118,2581,250,0,87368,64250,269,0.7353951103378812
87677,67134,20543,64583,23094,2551,250,0,87677,64583,270,0.7366013891898674
87811,67138,20673,64573,23238,2565,250,0,87811,64573,271,0.7353634510482742
87512,66963,20549,64421,23091,2542,250,0,87512,64421,272,0.7361390437882804
87215,66696,20519,64139,23076,2557,250,0,87215,64139,273,0.7354124863842229
87640,67010,20630,64472,23168,2538,250,0,87640,64472,274,0.7356458238247375
87729,67224,20505,64701,23028,2523,250,0,87729,64701,275,0.7375098314126458
87522,67082,20440,64485,23037,2597,250,0,87522,64485,276,0.7367861794748749
88158,67377,20781,64802,23356,2575,250,0,88158,64802,277,0.7350665849951223
88374,67513,20861,64886,23488,2627,250,0,88374,64886,278,0.7342204720845498
87693,67159,20534,64573,23120,2586,250,0,87693,64573,279,0.7363529586169933
87704,67180,20524,64621,23083,2559,250,0,87704,64621,280,0.7368078992976375
87593,67073,20520,64557,23036,2516,250,0,87593,64557,281,0.7370109483634537
87937,67167,20770,64622,23315,2545,250,0,87937,64622,282,0.7348670070618738
87808,67170,20638,64654,23154,2516,250,0,87808,64654,283,0.7363110422740525
87614,67167,20447,64603,23011,2564,250,0,87614,64603,284,0.7373593261350926
88082,67534,20548,65017,23065,2517,250,0,88082,65017,285,0.7381417315683113
