run_id,ddb_seconds,count_min,count_max,count_sum,zero_count,object_pixels,object_count_sum,object_zero_count,variance_min,variance_max,variance_sum,variance_nonfinite,variance_negative
193,0.8510799839996253,0,60,12664636,4,251352,5761556,2,0.0,91.64661407470703,430227.928316468,0,0
194,0.8511716130001332,0,69,12654622,4,251352,5856246,0,0.0,85.279296875,423193.7414234805,0,0
195,0.8536236919999283,0,59,12672890,15,251352,5833286,9,0.0,79.27734375,408675.95306025527,0,0
196,0.8671800090000943,0,59,12666635,7,251352,5837171,3,0.0,78.32707977294922,394619.9933486979,0,0
197,0.8693462159999399,0,60,12664591,4,251352,5805647,0,0.0,104.458984375,401867.37651500443,0,0
198,0.8602763429998959,1,59,12585577,0,251352,5813242,0,0.0,99.400390625,390465.06112415536,0,0
199,0.8867526949998137,1,62,12606901,0,251352,5788235,0,0.0,63.763671875,385815.9883174135,0,0
200,0.9162267289998454,1,65,12667286,0,251352,5817691,0,0.0,75.29557037353516,370868.1333483567,0,0
201,0.8958453649997864,0,61,12664295,2,251352,5870194,0,0.0,73.49948120117188,389084.3178736087,0,0
202,0.9072537990000455,0,59,12623498,5,251352,5812338,0,0.0,147.6875,372358.1359006059,0,0
203,0.8676100640000186,0,62,12535651,17,251352,5779415,1,0.0,83.12890625,369957.8100505823,0,0
204,0.9862506449999273,0,54,12627358,3,251352,5806959,0,0.0,46.025390625,369850.933653974,0,0
205,0.9780830620002234,0,61,12659489,11,251352,5840068,0,0.0,60.53203201293945,356250.4632608841,0,0
206,0.9809231509998426,0,65,12747165,13,251352,5869297,6,0.0,95.4921875,346200.9846384702,0,0
207,0.9646653710001374,0,66,12791224,2,251352,5878681,2,0.0,68.43359375,349934.0686722601,0,0
208,0.9259022070000356,1,61,12595731,0,251352,5811260,0,0.0,67.87799835205078,345771.0249481752,0,0
209,0.9380586769998445,0,68,12717749,8,251352,5818876,0,0.0,44.63216018676758,344959.24745530804,0,0
210,0.9331815340001413,1,74,12703087,0,251352,5853706,0,0.0,78.24251556396484,344516.6168631724,0,0
211,0.9344587030000184,0,63,12673391,11,251352,5802121,0,0.0,92.416015625,345630.0034246244,0,0
212,0.9885613820001709,0,58,12598102,2,251352,5816672,0,0.0,51.259765625,349439.3305967505,0,0
213,0.956986340000185,0,66,12717296,4,251352,5852945,0,0.0,177.271484375,344592.14802718244,0,0
214,0.9700249070001519,1,64,12585845,0,251352,5821584,0,0.0,55.68684768676758,349496.5448368525,0,0
215,0.9680152310002086,0,63,12620587,12,251352,5817347,0,0.0,64.08724212646484,342652.5961924478,0,0
216,0.9052550770002199,0,61,12671913,2,251352,5849345,0,0.0,94.8515625,344089.01678894705,0,0
217,0.894494098999985,1,76,12696645,0,251352,5869325,0,0.0,61.703125,338247.39478255465,0,0
218,0.8971519460001218,0,61,12662825,8,251352,5830151,0,0.0,88.9921875,355060.00028146047,0,0
219,0.8837020189998839,1,62,12598580,0,251352,5817044,0,0.0,60.22265625,343511.8272817688,0,0
220,0.9261972099998275,0,66,12452789,1,251352,5746033,0,0.0,73.59375,352625.3567614703,0,0
221,0.9297438819999115,0,62,12660308,28,251352,5792881,0,0.0,74.94292449951172,346994.49741296103,0,0
