variant,support,radius_mm,mean_rsp,std_rsp,pixels,dataset,ddb,fov_mm,hann
s2_fov210_hann0,False,51.625,1.0131335057600204,0.01821216123968652,8032,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,51.875,1.0137704782599852,0.018901930229307022,8248,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,52.125,1.0144450130309572,0.01818003508257203,8068,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,52.375,1.0146489835962766,0.017782452418636324,8384,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,52.625,1.0142485143598354,0.018213784241458527,8080,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,52.875,1.0135927277933487,0.017985454594488432,8432,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,53.125,1.0128983171916632,0.017820121736849624,8256,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,53.375,1.0131965873723334,0.018214172370172706,8460,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,53.625,1.0134423517368056,0.01810682324317766,8360,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,53.875,1.012951035101555,0.018077787824830834,8512,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,54.125,1.0119980598958034,0.018238266056282808,8480,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,54.375,1.01216234166215,0.017857886771466245,8596,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,54.625,1.0141462012003977,0.01791865368556553,8504,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,54.875,1.0149209656231446,0.017593007912617083,8720,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,55.125,1.0141229113492323,0.017203415535375532,8536,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,55.375,1.0137262723835125,0.01778714445107073,8796,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,55.625,1.013419448460946,0.01773016732580148,8648,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,55.875,1.013391585981889,0.01785495483904038,8856,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,56.125,1.0138109437951215,0.018216869763511872,8760,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,56.375,1.0137253815257872,0.017759404471066532,8880,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,56.625,1.0137202150396516,0.018104984498444485,8860,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,56.875,1.014220292459955,0.0176013347492827,9008,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,57.125,1.0142880411041404,0.018171668822591497,8896,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,57.375,1.0134660719964008,0.01826986997906496,9136,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,57.625,1.0139196461535398,0.017619731168906402,8916,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,57.875,1.0147550158545724,0.017554468046233666,9208,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,58.125,1.0140369503852729,0.017907500979660842,8968,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,58.375,1.013499726727925,0.018849496249841963,9304,vacuum,corrected,210.0,0.0
