dataset,run_id,variant,accepted_train,weight_min,weight_median,weight_max,effective_sample_size,effective_fraction
s2,336,combined,60492,0.3041313588619232,1.0,4.0,40065.623745105266,0.6623292955284213
s2,337,equal,60541,1.0,1.0,1.0,60541.0,1.0
s2,337,inverse_variance,60541,0.3373948335647583,1.0,4.0,40125.608113815695,0.6627840325368873
s2,337,robust_confidence,60541,0.8334600925445557,1.0,1.0,60534.63101270411,0.9998947987761039
s2,337,combined,60541,0.337794691324234,1.0,4.0,40131.668118044676,0.662884130061358
s2,338,equal,60350,1.0,1.0,1.0,60350.0,1.0
s2,338,inverse_variance,60350,0.3386668562889099,1.0,4.0,40050.214522887916,0.663632386460446
s2,338,robust_confidence,60350,0.8335140347480774,1.0,1.0,60343.948908745755,0.9998997333677838
s2,338,combined,60350,0.31265246868133545,1.0,4.0,40054.17260160848,0.6636979718576385
s2,339,equal,60472,1.0,1.0,1.0,60472.0,1.0
s2,339,inverse_variance,60472,0.3370905816555023,1.0,4.0,40084.0013834094,0.6628522520076962
s2,339,robust_confidence,60472,0.8335925340652466,1.0,1.0,60465.97278890274,0.9999003305480676
s2,339,combined,60472,0.3374607264995575,1.0,4.0,40089.536166569866,0.662943778386193
s2,340,equal,60725,1.0,1.0,1.0,60725.0,1.0
s2,340,inverse_variance,60725,0.33749154210090637,1.0,4.0,40252.18368418017,0.6628601677098422
s2,340,robust_confidence,60725,0.8336794972419739,1.0,1.0,60718.9291285219,0.9999000268179811
s2,340,combined,60725,0.3378424644470215,1.0,4.0,40256.010353403304,0.6629231840823928
s2,341,equal,60218,1.0,1.0,1.0,60218.0,1.0
s2,341,inverse_variance,60218,0.33742478489875793,1.0,4.0,39924.93525897927,0.6630066634391588
s2,341,robust_confidence,60218,0.8344637751579285,1.0,1.0,60211.53076272951,0.999892569708883
s2,341,combined,60218,0.33779647946357727,1.0,4.0,39928.97191322624,0.6630736974530247
s2,342,equal,60790,1.0,1.0,1.0,60790.0,1.0
s2,342,inverse_variance,60790,0.3375449478626251,1.0,4.0,40266.35510559959,0.6623845222174632
s2,342,robust_confidence,60790,0.8336608409881592,1.0,1.0,60783.85582388006,0.9998989278480023
s2,342,combined,60790,0.32335329055786133,1.0,4.0,40275.11476303602,0.662528619230729
s2,343,equal,60368,1.0,1.0,1.0,60368.0,1.0
s2,343,inverse_variance,60368,0.3374917209148407,1.0,4.0,40057.71765985987,0.6635588003554842
s2,343,robust_confidence,60368,0.8335047364234924,1.0,1.0,60361.808481668915,0.9998974370803889
s2,343,combined,60368,0.3293251097202301,1.0,4.0,40060.829245722656,0.6636103439855993
s2,344,equal,60611,1.0,1.0,1.0,60611.0,1.0
s2,344,inverse_variance,60611,0.33774465322494507,1.0,4.0,40175.18902288393,0.6628365976948728
s2,344,robust_confidence,60611,0.8334265351295471,1.0,1.0,60604.68512279481,0.9998958130173534
s2,344,combined,60611,0.3040052354335785,1.0,4.0,40175.21355229135,0.662837002397112
s2,345,equal,60185,1.0,1.0,1.0,60185.0,1.0
s2,345,inverse_variance,60185,0.3374563455581665,1.0,4.0,39912.40975232723,0.6631620794604508
s2,345,robust_confidence,60185,0.8335826992988586,1.0,1.0,60179.118313307044,0.9999022732127115
s2,345,combined,60185,0.30865678191185,1.0,4.0,39910.40128327484,0.6631287078719754
s2,346,equal,60574,1.0,1.0,1.0,60574.0,1.0
s2,346,inverse_variance,60574,0.33721432089805603,1.0,4.0,40153.34035799893,0.6628807798395174
s2,346,robust_confidence,60574,0.8334496021270752,1.0,1.0,60568.0589177546,0.9999019202587678
s2,346,combined,60574,0.28480207920074463,1.0,4.0,40157.453221015225,0.6629486779974119
s2,347,equal,60392,1.0,1.0,1.0,60392.0,1.0
s2,347,inverse_variance,60392,0.33796700835227966,1.0,4.0,40040.002124890576,0.6630017572673629
s2,347,robust_confidence,60392,0.833945631980896,1.0,1.0,60386.09259147317,0.9999021822670746
s2,347,combined,60392,0.33818739652633667,1.0,4.0,40036.42548784292,0.6629425335780057
s2,348,equal,60477,1.0,1.0,1.0,60477.0,1.0
s2,348,inverse_variance,60477,0.3371998965740204,1.0,4.0,40126.65269501531,0.663502698464132
s2,348,robust_confidence,60477,0.8333792090415955,1.0,1.0,60470.16716277561,0.999887017589755
s2,348,combined,60477,0.3115704655647278,1.0,4.0,40133.55033940216,0.6636167524745301
s2,349,equal,60264,1.0,1.0,1.0,60264.0,1.0
s2,349,inverse_variance,60264,0.33703240752220154,1.0,4.0,39927.58698389983,0.6625445868827133
s2,349,robust_confidence,60264,0.8336924910545349,1.0,1.0,60258.389412764445,0.9999068998533859
s2,349,combined,60264,0.3107866942882538,1.0,4.0,39936.21043377596,0.6626876814313016
s2,350,equal,60344,1.0,1.0,1.0,60344.0,1.0
s2,350,inverse_variance,60344,0.3377230167388916,1.0,4.0,39936.774895152295,0.6618184889160861
s2,350,robust_confidence,60344,0.8341640830039978,1.0,1.0,60338.21181985156,0.999904080270641
s2,350,combined,60344,0.33816298842430115,1.0,4.0,39945.71794839384,0.6619666901165624
s2,351,equal,60624,1.0,1.0,1.0,60624.0,1.0
s2,351,inverse_variance,60624,0.3381699323654175,1.0,4.0,40111.847024203,0.6616496276095771
s2,351,robust_confidence,60624,0.8337092995643616,1.0,1.0,60618.087321978644,0.9999024696816219
s2,351,combined,60624,0.3125227391719818,1.0,4.0,40118.01993181828,0.6617514504456696
s2,352,equal,60489,1.0,1.0,1.0,60489.0,1.0
s2,352,inverse_variance,60489,0.3392869830131531,1.0,4.0,40207.72190580583,0.6647113013243041
s2,352,robust_confidence,60489,0.8334953784942627,1.0,1.0,60482.45623075002,0.9998918188554946
s2,352,combined,60489,0.32684457302093506,1.0,4.0,40214.2677261409,0.6648195163772074
s2,353,equal,60808,1.0,1.0,1.0,60808.0,1.0
s2,353,inverse_variance,60808,0.3375442624092102,1.0,4.0,40277.42621622962,0.6623705140150905
s2,353,robust_confidence,60808,0.8334614634513855,1.0,1.0,60802.23258591721,0.9999051536955206
s2,353,combined,60808,0.2956179976463318,1.0,4.0,40282.02100912638,0.6624460763242728
s2,354,equal,60714,1.0,1.0,1.0,60714.0,1.0
s2,354,inverse_variance,60714,0.338310182094574,1.0,4.0,40238.928073547584,0.6627619342087094
s2,354,robust_confidence,60714,0.833702564239502,1.0,1.0,60707.57182944843,0.9998941237514977
s2,354,combined,60714,0.3387177288532257,1.0,4.0,40244.683043380566,0.662856722393197
s2,355,equal,60633,1.0,1.0,1.0,60633.0,1.0
s2,355,inverse_variance,60633,0.3373667597770691,1.0,4.0,40206.61954019388,0.6631144680321588
s2,355,robust_confidence,60633,0.8335490226745605,1.0,1.0,60627.00011734718,0.9999010459213165
s2,355,combined,60633,0.32487744092941284,1.0,4.0,40207.932683781386,0.6631361252747082
s2,356,equal,60219,1.0,1.0,1.0,60219.0,1.0
s2,356,inverse_variance,60219,0.3371887803077698,1.0,4.0,39959.05320243142,0.6635622179450243
s2,356,robust_confidence,60219,0.8334367275238037,1.0,1.0,60213.479300393614,0.9999083229610856
s2,356,combined,60219,0.3374665379524231,1.0,4.0,39960.248756929956,0.6635820713882654
s2,357,equal,60769,1.0,1.0,1.0,60769.0,1.0
s2,357,inverse_variance,60769,0.33805254101753235,1.0,4.0,40318.45579734495,0.6634707794655984
s2,357,robust_confidence,60769,0.8334348797798157,1.0,1.0,60762.62395321028,0.9998950773126146
s2,357,combined,60769,0.32155728340148926,1.0,4.0,40319.9260555642,0.6634949736800705
