dataset,run_id,candidate,total,inside,train_total,train_accepted,train_retention,validation_total,validation_accepted,validation_retention,test_total,test_accepted,test_retention,distance_p50,distance_p99
s2,715,baseline_3sigma,88559,78615,70856,60901,0.8595037823190697,8688,7438,0.8561233885819521,9015,7730,0.8574597892401553,0.5676478147506714,5.386624813079834
s2,716,baseline_3sigma,87640,77874,70228,60375,0.859699834823717,8824,7644,0.8662737987307344,8588,7353,0.8561946902654868,0.5549120306968689,5.295349597930908
s2,717,baseline_3sigma,88019,77901,70414,60305,0.8564347998977476,8812,7631,0.8659782115297322,8793,7490,0.8518139429091323,0.5568427443504333,5.300348281860352
s2,718,baseline_3sigma,88157,78137,70342,60364,0.858150180546473,8877,7575,0.8533288273065225,8938,7665,0.8575744014320877,0.5526168346405029,5.376044750213623
s2,719,baseline_3sigma,87665,77603,70005,59989,0.856924505392472,8869,7620,0.8591723982410644,8791,7526,0.8561028324422705,0.557329535484314,5.459499835968018
s2,0,median_mad,87852,77907,70472,58303,0.8273214893858554,8823,7244,0.821035928822396,8557,7077,0.8270421876825991,1.0670567750930786,11.156115531921387
s2,1,median_mad,87597,77803,69934,57895,0.8278519747190208,8842,7295,0.8250395838045691,8821,7327,0.8306314476816687,1.0701366662979126,11.105226516723633
s2,2,median_mad,87639,77684,70131,57947,0.8262679842009952,8724,7196,0.8248509857863365,8784,7246,0.8249089253187614,1.0735375881195068,11.11435604095459
s2,3,median_mad,88316,78349,70441,58251,0.8269473743984327,8937,7396,0.8275707731901085,8938,7431,0.831394047885433,1.0697331428527832,11.016090393066406
s2,4,median_mad,87705,77778,70166,58089,0.827879599806174,8807,7332,0.8325195866924038,8732,7177,0.8219193770041228,1.069340705871582,10.820009231567383
s2,5,median_mad,87936,77922,70372,58184,0.826806116068891,8789,7283,0.8286494481738537,8775,7261,0.8274643874643874,1.0694663524627686,11.122626304626465
s2,6,median_mad,87565,77592,70249,58151,0.8277840253953793,8649,7168,0.8287663313677882,8667,7162,0.8263528325833622,1.0700533390045166,10.902901649475098
s2,7,median_mad,87663,77830,70067,58122,0.8295203162687143,8763,7251,0.8274563505648751,8833,7278,0.823955620966829,1.066964864730835,10.826964378356934
s2,8,median_mad,88075,78099,70311,58237,0.828277225469699,8913,7382,0.8282284303825872,8851,7263,0.8205852446051294,1.0688687562942505,11.0051908493042
s2,9,median_mad,87965,77845,70397,58106,0.825404491668679,8789,7261,0.8261463192627148,8779,7278,0.8290238068117097,1.06843101978302,11.047433853149414
s2,10,median_mad,87825,77944,70312,58190,0.8275969962453066,8709,7241,0.8314387415317488,8804,7315,0.830872330758746,1.0713019371032715,11.231075286865234
s2,11,median_mad,88069,78260,70363,58303,0.8286031010616375,8901,7445,0.8364228738344006,8805,7269,0.8255536626916524,1.0718930959701538,10.821300506591797
s2,12,median_mad,87478,77507,69778,57778,0.8280260253948236,8839,7295,0.8253196062903043,8861,7338,0.8281232366550051,1.0673718452453613,10.895878791809082
s2,13,median_mad,88046,78041,70440,58289,0.8274985803520727,8842,7321,0.827980095001131,8764,7256,0.8279324509356458,1.0704221725463867,10.679288864135742
s2,14,median_mad,87967,78131,70300,58199,0.8278662873399716,8868,7320,0.8254397834912043,8799,7331,0.8331628594158427,1.0689219236373901,10.969674110412598
s2,15,median_mad,88337,78322,70567,58307,0.8262644012073632,8898,7377,0.8290627107215105,8872,7335,0.8267583408476105,1.072282314300537,11.217938423156738
s2,16,median_mad,87700,77778,70273,58177,0.8278713019225022,8699,7140,0.8207839981607081,8728,7208,0.8258478460128322,1.0742580890655518,11.07944107055664
s2,17,median_mad,88310,78283,70802,58637,0.8281828196943589,8792,7293,0.8295040946314831,8716,7203,0.8264111977971547,1.0675262212753296,10.7081937789917
s2,18,median_mad,87654,77649,70010,57934,0.8275103556634766,8656,7149,0.8259011090573013,8988,7466,0.830663106364041,1.0649383068084717,11.268266677856445
s2,19,median_mad,88455,78434,70648,58354,0.8259823349564036,8965,7478,0.8341327384272169,8842,7231,0.8178014023976475,1.070178508758545,11.022014617919922
s2,20,median_mad,87884,78101,70389,58298,0.8282260012217818,8701,7164,0.8233536375129296,8794,7332,0.8337502842847396,1.0678130388259888,11.110479354858398
s2,21,median_mad,88091,78209,70500,58327,0.8273333333333334,8676,7279,0.8389810972798525,8915,7360,0.8255748738081884,1.0698374509811401,11.110404968261719
s2,22,median_mad,87785,77920,70272,58222,0.828523451730419,8639,7148,0.8274105799282324,8874,7352,0.8284877169258508,1.0740351676940918,11.023202896118164
s2,23,median_mad,87919,77907,70510,58267,0.8263650546021841,8667,7190,0.8295834775585554,8742,7250,0.8293296728437428,1.0747703313827515,10.979641914367676
s2,24,median_mad,88089,78124,70387,58267,0.8278091124781565,8934,7389,0.8270651443922096,8768,7197,0.8208257299270073,1.0672039985656738,10.919593811035156
s2,25,median_mad,88418,78459,70742,58656,0.8291538265810975,8840,7379,0.8347285067873303,8836,7259,0.8215255771842462,1.0698574781417847,10.867734909057617
s2,26,median_mad,87922,77992,70282,58266,0.8290316154918755,8857,7305,0.8247713672801175,8783,7312,0.8325173630877832,1.069106101989746,11.242317199707031
s2,27,median_mad,87677,77749,70101,57960,0.8268070355629734,8777,7277,0.8290987809046371,8799,7265,0.8256620070462553,1.071998953819275,11.086981773376465
s2,28,median_mad,87989,78026,70212,58097,0.8274511479519171,8872,7366,0.8302524797114518,8905,7387,0.8295339696799551,1.0669951438903809,11.044517517089844
s2,29,median_mad,87992,77932,70542,58214,0.8252388647897706,8606,7129,0.8283755519405066,8844,7331,0.8289235639981909,1.0722019672393799,10.942477226257324
s2,30,median_mad,88401,78380,70513,58326,0.8271666217576901,8994,7416,0.8245496997998666,8894,7337,0.8249381605576793,1.0701546669006348,10.849247932434082
s2,31,median_mad,87687,77859,70139,58095,0.8282838363820414,8831,7277,0.8240289887894916,8717,7247,0.8313640013766204,1.0680890083312988,11.024728775024414
s2,32,median_mad,87854,77882,70293,58052,0.8258574822528559,8761,7254,0.8279876726401095,8800,7271,0.82625,1.0732648372650146,11.12928295135498
