input_rows,input_unique_merge_keys,input_duplicates_removed,output_rows,output_unique_run_event_track_keys,output_duplicate_run_event_track_rows,matched_input_merge_keys,unmatched_input_merge_keys,pairs,primary_pairs,secondary_pairs,local_run_id,run_id,input_in,input_out
100685,100685,0,91681,91681,0,88492,12193,88492,88492,0,0,33,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_033/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_033/PhaseSpaceOut.root
99957,99957,0,90955,90955,0,87821,12136,87821,87821,0,0,34,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_034/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_034/PhaseSpaceOut.root
99905,99905,0,90948,90948,0,87768,12137,87768,87768,0,0,35,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_035/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_035/PhaseSpaceOut.root
100011,100011,0,90979,90979,0,87965,12046,87965,87965,0,0,36,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_036/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_036/PhaseSpaceOut.root
99888,99888,0,90944,90944,0,87844,12044,87844,87844,0,0,37,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_037/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_037/PhaseSpaceOut.root
100273,100273,0,91212,91212,0,88143,12130,88143,88143,0,0,38,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_038/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_038/PhaseSpaceOut.root
99988,99988,0,91192,91192,0,88020,11968,88020,88020,0,0,39,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_039/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_039/PhaseSpaceOut.root
100105,100105,0,91049,91049,0,87970,12135,87970,87970,0,0,40,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_040/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_040/PhaseSpaceOut.root
99664,99664,0,90729,90729,0,87643,12021,87643,87643,0,0,41,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_041/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_041/PhaseSpaceOut.root
99849,99849,0,90833,90833,0,87717,12132,87717,87717,0,0,42,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_042/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_042/PhaseSpaceOut.root
99975,99975,0,91146,91146,0,88060,11915,88060,88060,0,0,43,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_043/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_043/PhaseSpaceOut.root
99547,99547,0,90484,90484,0,87256,12291,87256,87256,0,0,44,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_044/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_044/PhaseSpaceOut.root
100634,100634,0,91683,91683,0,88534,12100,88534,88534,0,0,45,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_045/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_045/PhaseSpaceOut.root
99480,99480,0,90543,90543,0,87359,12121,87359,87359,0,0,46,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_046/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_046/PhaseSpaceOut.root
99945,99945,0,91205,91205,0,88111,11834,88111,88111,0,0,47,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_047/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_047/PhaseSpaceOut.root
100420,100420,0,91463,91463,0,88430,11990,88430,88430,0,0,48,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_048/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_048/PhaseSpaceOut.root
100511,100511,0,91489,91489,0,88320,12191,88320,88320,0,0,49,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_049/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_049/PhaseSpaceOut.root
100468,100468,0,91391,91391,0,88223,12245,88223,88223,0,0,50,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_050/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_050/PhaseSpaceOut.root
99987,99987,0,90906,90906,0,87788,12199,87788,87788,0,0,51,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_051/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_051/PhaseSpaceOut.root
