run_id,status,rows,wepl_min_mm,wepl_max_mm,wepl_mean_mm
502,written,51580,0.0,225.97877502441406,134.61907958984375
503,written,51612,0.0,225.0740203857422,134.05142211914062
504,written,52021,0.0,220.77975463867188,134.56906127929688
505,written,51800,0.0,224.7270050048828,134.6314697265625
506,written,51858,0.0,223.6333465576172,134.7948455810547
507,written,51483,0.0,220.32615661621094,134.6501922607422
508,written,51865,0.0,220.18585205078125,134.07339477539062
509,written,51798,0.0,222.00914001464844,134.3709716796875
510,written,51704,0.0,217.2451629638672,134.83485412597656
511,written,51712,0.0,226.271240234375,134.40235900878906
512,written,51845,0.0,218.913330078125,134.9723663330078
513,written,51742,0.0,221.7736358642578,135.2281494140625
514,written,51768,0.0,218.99200439453125,134.3916778564453
