run_id,seed,fraction,parent,selected,status
202,20260730,0.2,60297,48272,written
201,20260730,0.2,60437,48454,written
204,20260730,0.2,59899,47915,written
203,20260730,0.2,60087,47978,written
205,20260730,0.2,60077,47944,written
206,20260730,0.2,59937,48016,written
207,20260730,0.2,60259,48345,written
209,20260730,0.2,60505,48373,written
208,20260730,0.2,60058,47948,written
210,20260730,0.2,60124,48186,written
211,20260730,0.2,60180,48268,written
214,20260730,0.2,60148,48311,written
213,20260730,0.2,60023,47871,written
212,20260730,0.2,59960,48042,written
215,20260730,0.2,60062,48021,written
217,20260730,0.2,60047,47988,written
216,20260730,0.2,59932,47979,written
218,20260730,0.2,60116,47980,written
219,20260730,0.2,59681,47642,written
221,20260730,0.2,60390,48456,written
220,20260730,0.2,60190,48127,written
222,20260730,0.2,59943,47822,written
223,20260730,0.2,59843,47749,written
224,20260730,0.2,60104,48091,written
225,20260730,0.2,60101,47978,written
226,20260730,0.2,60072,48027,written
227,20260730,0.2,60225,48186,written
229,20260730,0.2,59902,47913,written
228,20260730,0.2,60522,48561,written
230,20260730,0.2,60061,47997,written
231,20260730,0.2,60070,48274,written
232,20260730,0.2,60578,48557,written
233,20260730,0.2,60082,47950,written
234,20260730,0.2,60577,48309,written
235,20260730,0.2,60459,48287,written
236,20260730,0.2,60170,48251,written
237,20260730,0.2,60379,48375,written
238,20260730,0.2,60028,47842,written
239,20260730,0.2,59922,47985,written
241,20260730,0.2,60391,48222,written
240,20260730,0.2,60411,48229,written
242,20260730,0.2,60016,48072,written
243,20260730,0.2,60249,48359,written
244,20260730,0.2,60326,48122,written
245,20260730,0.2,60019,48239,written
246,20260730,0.2,60442,48292,written
247,20260730,0.2,60222,48295,written
249,20260730,0.2,60171,48002,written
248,20260730,0.2,60615,48612,written
250,20260730,0.2,60084,48083,written
251,20260730,0.2,60186,48271,written
253,20260730,0.2,60163,48075,written
252,20260730,0.2,60344,48232,written
254,20260730,0.2,60309,48288,written
255,20260730,0.2,60138,48212,written
256,20260730,0.2,60352,48240,written
257,20260730,0.2,60558,48256,written
258,20260730,0.2,60285,48032,written
259,20260730,0.2,60490,48424,written
260,20260730,0.2,60266,48156,written
261,20260730,0.2,60589,48494,written
262,20260730,0.2,59896,47860,written
263,20260730,0.2,60404,48337,written
264,20260730,0.2,60287,48346,written
265,20260730,0.2,60464,48311,written
266,20260730,0.2,59948,48121,written
267,20260730,0.2,60069,48096,written
268,20260730,0.2,60177,47990,written
269,20260730,0.2,60466,48385,written
270,20260730,0.2,60198,48392,written
271,20260730,0.2,60316,48265,written
273,20260730,0.2,60038,48153,written
274,20260730,0.2,60527,48322,written
272,20260730,0.2,60973,48755,written
275,20260730,0.2,60173,48135,written
276,20260730,0.2,60284,48274,written
277,20260730,0.2,59943,48078,written
278,20260730,0.2,60303,48198,written
279,20260730,0.2,59876,47766,written
281,20260730,0.2,60365,48473,written
280,20260730,0.2,60152,48180,written
282,20260730,0.2,60300,48332,written
283,20260730,0.2,60022,47894,written
285,20260730,0.2,60143,48257,written
284,20260730,0.2,60381,48431,written
286,20260730,0.2,59881,47975,written
287,20260730,0.2,59912,47976,written
289,20260730,0.2,60234,48228,written
288,20260730,0.2,60151,48106,written
290,20260730,0.2,60111,48073,written
291,20260730,0.2,60183,48085,written
292,20260730,0.2,59788,47874,written
293,20260730,0.2,60108,48066,written
294,20260730,0.2,60343,48329,written
295,20260730,0.2,60331,48326,written
297,20260730,0.2,60108,47992,written
296,20260730,0.2,60363,48235,written
298,20260730,0.2,59871,47932,written
299,20260730,0.2,60421,48283,written
301,20260730,0.2,59844,47817,written
300,20260730,0.2,59676,47628,written
302,20260730,0.2,60533,48335,written
303,20260730,0.2,60384,48115,written
304,20260730,0.2,60002,47925,written
305,20260730,0.2,60840,48506,written
306,20260730,0.2,60164,48198,written
307,20260730,0.2,60204,48255,written
308,20260730,0.2,59900,47962,written
309,20260730,0.2,59593,47793,written
310,20260730,0.2,59925,47882,written
311,20260730,0.2,60482,48299,written
312,20260730,0.2,60449,48428,written
313,20260730,0.2,59894,47951,written
314,20260730,0.2,60263,48271,written
315,20260730,0.2,60138,48118,written
316,20260730,0.2,59995,47990,written
317,20260730,0.2,60438,48331,written
318,20260730,0.2,60150,48130,written
319,20260730,0.2,60575,48413,written
320,20260730,0.2,60322,48264,written
